i,im[i]= 0 10
i,im[i]= 1 2
i,im[i]= 2 3
i,im[i]= 3 7
i,im[i]= 4 12
i,im[i]= 5 19
i,im[i]= 6 2
i,im[i]= 7 1
i,im[i]= 8 3
i,im[i]= 9 2
i,im[i]= 10 1
i,im[i]= 11 2
i,im[i]= 12 2
i,im[i]= 13 2
i,im[i]= 14 4
i,im[i]= 15 7
i,im[i]= 16 13
i,im[i]= 17 18
i,im[i]= 18 66
i,im[i]= 19 16
i,im[i]= 20 14
i,im[i]= 21 6
i,im[i]= 22 6
i,im[i]= 23 8
i,im[i]= 24 13
i,im[i]= 25 8
i,im[i]= 26 11
i,im[i]= 27 17
i,im[i]= 28 11
i,im[i]= 29 9
i,im[i]= 30 12
i,im[i]= 31 18
i,im[i]= 32 10
i,im[i]= 33 13
i,im[i]= 34 10
i,im[i]= 35 14
i,im[i]= 36 20
i,im[i]= 37 11
i,im[i]= 38 14
i,im[i]= 39 19
i,im[i]= 40 13
i,im[i]= 41 14
ic,j,angleg[ic][j]= 18 29 2.572063e+000
ic,j,angleg[ic][j]= 18 30 2.677561e+000
ic,j,angleg[ic][j]= 18 31 2.882021e+000
ic,j,angleg[ic][j]= 18 32 2.922981e+000
ic,j,angleg[ic][j]= 18 33 3.115617e+000
ic,j,angleg[ic][j]= 18 34 3.181032e+000
ic,j,angleg[ic][j]= 18 35 3.269132e+000
ic,j,angleg[ic][j]= 18 36 3.357311e+000
ic,j,angleg[ic][j]= 18 37 3.427957e+000
ic,j,angleg[ic][j]= 18 38 3.559064e+000
ic,j,angleg[ic][j]= 18 39 3.627585e+000
ic,j,angleg[ic][j]= 18 40 3.780834e+000
ic,j,angleg[ic][j]= 18 41 3.817473e+000
ic,j,angleg[ic][j]= 18 42 3.953285e+000
ic,j,angleg[ic][j]= 18 43 3.965950e+000
ic,j,angleg[ic][j]= 18 44 4.115591e+000
ic,j,angleg[ic][j]= 18 45 4.221096e+000
ic,j,angleg[ic][j]= 18 46 4.303163e+000
ic,j,angleg[ic][j]= 18 47 4.306853e+000
ic,j,angleg[ic][j]= 18 48 4.497122e+000
ic,j,angleg[ic][j]= 18 49 4.498189e+000
ic,j,angleg[ic][j]= 18 50 4.506185e+000
ic,j,angleg[ic][j]= 18 51 4.693974e+000
ic,j,angleg[ic][j]= 18 52 4.715592e+000
ic,j,angleg[ic][j]= 18 53 4.893469e+000
ic,j,angleg[ic][j]= 18 54 4.946928e+000
ic,j,angleg[ic][j]= 18 55 5.096554e+000
ic,j,angleg[ic][j]= 18 56 5.179970e+000
ic,j,angleg[ic][j]= 18 57 5.305543e+000
ic,j,angleg[ic][j]= 18 58 5.417012e+000
ic,j,angleg[ic][j]= 18 59 5.507833e+000
ic,j,angleg[ic][j]= 18 60 5.645902e+000
ic,j,angleg[ic][j]= 18 61 5.874928e+000
ic,j,angleg[ic][j]= 18 62 5.899598e+000
ic,j,angleg[ic][j]= 18 63 5.977992e+000
ic,j,angleg[ic][j]= 18 64 6.140195e+000
ic,j,angleg[ic][j]= 18 65 6.183280e+000
ic,j,angleg[ic][j]= 19 0 9.359588e-002
ic,j,angleg[ic][j]= 19 1 3.870488e-001
ic,j,angleg[ic][j]= 19 2 7.569933e-001
ic,j,angleg[ic][j]= 19 3 9.049720e-001
ic,j,angleg[ic][j]= 19 4 1.237991e+000
ic,j,angleg[ic][j]= 19 5 1.247806e+000
ic,j,angleg[ic][j]= 19 6 1.280695e+000
ic,j,angleg[ic][j]= 19 7 1.509619e+000
ic,j,angleg[ic][j]= 19 8 2.801287e+000
ic,j,angleg[ic][j]= 19 9 4.522367e+000
ic,j,angleg[ic][j]= 19 10 4.752005e+000
ic,j,angleg[ic][j]= 19 11 4.760692e+000
ic,j,angleg[ic][j]= 19 12 4.783569e+000
ic,j,angleg[ic][j]= 19 13 5.031033e+000
ic,j,angleg[ic][j]= 19 14 5.584314e+000
ic,j,angleg[ic][j]= 19 15 5.978342e+000
ic,j,angleg[ic][j]= 20 0 2.261428e+000
ic,j,angleg[ic][j]= 20 1 2.363314e+000
ic,j,angleg[ic][j]= 20 2 2.435307e+000
ic,j,angleg[ic][j]= 20 3 2.585951e+000
ic,j,angleg[ic][j]= 20 4 2.745001e+000
ic,j,angleg[ic][j]= 20 5 3.208409e+000
ic,j,angleg[ic][j]= 20 6 3.236980e+000
ic,j,angleg[ic][j]= 20 7 4.872568e+000
ic,j,angleg[ic][j]= 20 8 5.419060e+000
ic,j,angleg[ic][j]= 20 9 5.654851e+000
ic,j,angleg[ic][j]= 20 10 5.756891e+000
ic,j,angleg[ic][j]= 20 11 5.902309e+000
ic,j,angleg[ic][j]= 20 12 6.016470e+000
ic,j,angleg[ic][j]= 20 13 6.149774e+000
ic,j,angleg[ic][j]= 21 0 3.431051e-001
ic,j,angleg[ic][j]= 21 1 5.368360e-001
ic,j,angleg[ic][j]= 21 2 8.694962e-001
ic,j,angleg[ic][j]= 21 3 3.435263e+000
ic,j,angleg[ic][j]= 21 4 5.666370e+000
ic,j,angleg[ic][j]= 21 5 5.828847e+000
ic,j,angleg[ic][j]= 22 0 8.645898e-002
ic,j,angleg[ic][j]= 22 1 9.626464e-002
ic,j,angleg[ic][j]= 22 2 2.555802e-001
ic,j,angleg[ic][j]= 22 3 7.799900e-001
ic,j,angleg[ic][j]= 22 4 3.317876e+000
ic,j,angleg[ic][j]= 22 5 5.473919e+000
ic,j,angleg[ic][j]= 23 0 2.045724e-001
ic,j,angleg[ic][j]= 23 1 2.443232e-001
ic,j,angleg[ic][j]= 23 2 2.675859e-001
ic,j,angleg[ic][j]= 23 3 2.782620e-001
ic,j,angleg[ic][j]= 23 4 3.257850e+000
ic,j,angleg[ic][j]= 23 5 4.005433e+000
ic,j,angleg[ic][j]= 23 6 5.255332e+000
ic,j,angleg[ic][j]= 23 7 6.081328e+000
ic,j,angleg[ic][j]= 24 0 4.630543e-001
ic,j,angleg[ic][j]= 24 1 2.527032e+000
ic,j,angleg[ic][j]= 24 2 2.529329e+000
ic,j,angleg[ic][j]= 24 3 2.532171e+000
ic,j,angleg[ic][j]= 24 4 3.639857e+000
ic,j,angleg[ic][j]= 24 5 3.757071e+000
ic,j,angleg[ic][j]= 24 6 3.757230e+000
ic,j,angleg[ic][j]= 24 7 3.759866e+000
ic,j,angleg[ic][j]= 24 8 3.759906e+000
ic,j,angleg[ic][j]= 24 9 5.642830e+000
ic,j,angleg[ic][j]= 24 10 5.642936e+000
ic,j,angleg[ic][j]= 24 11 5.657784e+000
ic,j,angleg[ic][j]= 24 12 5.657889e+000
ic,j,angleg[ic][j]= 25 0 1.646409e-002
ic,j,angleg[ic][j]= 25 1 5.510751e-001
ic,j,angleg[ic][j]= 25 2 6.252940e-001
ic,j,angleg[ic][j]= 25 3 6.717110e-001
ic,j,angleg[ic][j]= 25 4 3.300178e+000
ic,j,angleg[ic][j]= 25 5 5.111895e+000
ic,j,angleg[ic][j]= 25 6 5.251860e+000
ic,j,angleg[ic][j]= 25 7 6.137608e+000
